split,class,H,C,V,HF,HI,severity
train,正常,1.4668147563934326,0.9129856824874878,1.104140043258667,0.21423782408237457,46.71527862548828,0
train,正常,1.596551775932312,0.9409106969833374,1.0170000791549683,0.4804834723472595,53.232017517089844,0
train,正常,1.6780680418014526,0.9495269656181335,0.995613157749176,1.0834293365478516,59.12186813354492,0
train,正常,1.7568949460983276,0.9614610075950623,1.0418370962142944,0.92811518907547,61.470951080322266,0
train,正常,1.5730466842651367,0.9588404297828674,1.031929612159729,0.09116362035274506,50.110382080078125,0
train,正常,1.6174415349960327,0.9486657381057739,1.0207395553588867,0.16910558938980103,52.33038330078125,0
train,正常,1.5320439338684082,0.9298412203788757,1.126307725906372,0.7674461007118225,52.34746551513672,0
train,正常,1.217441201210022,0.907431960105896,1.0002851486206055,0.2825261354446411,37.04458236694336,0
train,正常,1.2190210819244385,0.9065006375312805,0.7276107668876648,0.29195019602775574,36.253726959228516,0
train,正常,1.2044636011123657,0.9037861824035645,0.6645758748054504,0.05647405982017517,34.09925842285156,0
train,正常,1.269354224205017,0.9027894735336304,0.9376897811889648,0.1752031445503235,38.126739501953125,0
train,正常,1.2964799404144287,0.8671246767044067,0.6653934717178345,0.3141963481903076,39.033042907714844,0
train,正常,1.3091237545013428,0.8617367744445801,0.9507969617843628,0.278677761554718,40.29292297363281,0
train,正常,1.2821383476257324,0.8672710061073303,0.8390580415725708,0.048012036830186844,37.51031494140625,0
train,正常,1.3217498064041138,0.8767229914665222,1.1677467823028564,0.18207548558712006,40.858917236328125,0
train,正常,1.3962419033050537,0.8875552415847778,0.6559798121452332,0.4967716336250305,43.92449188232422,0
train,正常,1.4540830850601196,0.9209258556365967,1.0387979745864868,0.3345978558063507,46.68849182128906,0
train,正常,1.5197030305862427,0.9309828877449036,1.2993066310882568,0.20277677476406097,49.3544921875,0
train,正常,1.5271551609039307,0.9603669047355652,1.3858085870742798,0.6291038393974304,52.17402648925781,0
train,正常,1.5286600589752197,0.9673824906349182,1.2879365682601929,1.0885298252105713,54.030582427978516,0
train,正常,1.5424208641052246,0.9622102975845337,1.1236461400985718,1.2388856410980225,54.73161315917969,0
train,正常,1.625806212425232,0.9835006594657898,1.0550636053085327,0.034466829150915146,51.9316291809082,0
train,正常,1.5885062217712402,0.9769481420516968,0.7188815474510193,0.025259120389819145,49.291046142578125,0
train,正常,1.5973963737487793,0.9836854338645935,0.6852719783782959,0.7970517873764038,53.7069206237793,0
train,正常,1.3975203037261963,0.9628288149833679,0.5298926830291748,0.4147697687149048,43.05239486694336,0
train,正常,1.330546259880066,0.9609180688858032,0.6967628598213196,0.08554501831531525,39.10945510864258,0
train,正常,1.3486099243164062,0.959730327129364,0.7781869173049927,0.061441078782081604,39.95978546142578,0
train,正常,1.2505309581756592,0.9253690838813782,0.675094485282898,0.4148711860179901,37.88801193237305,0
train,正常,1.174009919166565,0.9065848588943481,0.6554130911827087,0.3707899749279022,34.85639572143555,0
train,正常,1.2628703117370605,0.9142988920211792,0.5583126544952393,0.5012747645378113,38.359317779541016,0
train,正常,1.191567063331604,0.911378026008606,0.6486926078796387,0.26865726709365845,34.86298370361328,0
train,正常,0.9417946934700012,0.8948147296905518,0.6587977409362793,0.25581279397010803,27.452836990356445,0
train,正常,0.9061900973320007,0.9110885858535767,1.1230590343475342,0.5025427937507629,29.48929786682129,0
train,正常,0.9572905898094177,0.9205259084701538,1.1245388984680176,0.37632647156715393,30.023197174072266,0
train,正常,1.0269076824188232,0.9186227321624756,1.3151510953903198,0.3860577940940857,32.41841506958008,0
train,正常,1.2916879653930664,0.9631063938140869,2.029358386993408,0.12500983476638794,41.24396514892578,0
