seed,acc,f1,fp,fn,auc
0,92.5,0.9231537693076155,30,0,0.9691954387076338
1,91.75,0.9156651908075057,33,0,0.9946943300601838
2,90.0,0.8982809480215644,40,0,0.965658325414423
3,91.5,0.9131744937306877,34,0,0.93567205152571
42,94.25,0.9407365417195421,23,0,0.9889399218667512
